Event Name,area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through,Event took place
,Bradford - City Centre,monthly,04/12/2025,2142587.84,71419.59,1674662.265,55822.07186,467925.5747,15597.51814,
,Bradford - City Centre,monthly,05/12/2025,2115664.5,68247.24,1653618.787,53342.53999,462045.7134,14904.70001,
,Bradford - City Centre,monthly,06/12/2025,2183616.52,70439.24,1706730.581,55055.82316,476885.9395,15383.41684,
,Bradford - City Centre,monthly,07/12/2025,2173946.98,72464.9,1699172.798,56639.09377,474774.1824,15825.80623,
,Bradford - City Centre,monthly,08/12/2025,2363573.18,76244.3,1847386.017,59593.10035,516187.163,16651.19965,
,Bradford - City Centre,monthly,08/12/2025,2505358.53,83511.95,1958206.48,65273.54854,547152.0505,18238.40146,
,Bradford - City Centre,monthly,09/12/2025,2468392.34,79625.56,1929313.436,62235.9178,539078.9039,17389.6422,
,Bradford - City Centre,monthly,10/12/2025,2451038.05,79065.74,1915749.197,61798.35841,535288.8534,17267.38159,
,Bradford - City Centre,monthly,11/12/2025,2302221.35,82222.19,1799432.98,64265.46272,502788.3703,17956.72728,
,Bradford - City Centre,monthly,12/12/2025,2576171.13,83102.29,2013554.124,64953.3553,562617.0064,18148.9347,
,Bradford - City Centre,monthly,13/12/2025,2309843.71,76994.79,1805390.672,60179.6888,504453.0382,16815.1012,
,Bradford - City Centre,monthly,14/12/2025,2282906.58,73642.15,1784336.415,57559.24095,498570.1652,16082.90905,
,Bradford - City Centre,monthly,15/12/2025,2394719.32,79823.98,1871730.067,62391.00432,522989.253,17432.97568,
,Bradford - City Centre,monthly,15/12/2025,2470759.22,79701.91,1931163.407,62295.59351,539595.8132,17406.31649,
,Bradford - City Centre,monthly,16/12/2025,2331547.26,75211.2,1822354.325,58785.62186,509192.9354,16425.57814,
,Bradford - City Centre,monthly,17/12/2025,2324185.25,77472.84,1816600.124,60553.33616,507585.126,16919.50384,
,Bradford - City Centre,monthly,18/12/2025,2634840.65,84994.86,2059410.648,66432.6018,575430.0021,18562.2582,
,Bradford - City Centre,monthly,19/12/2025,2479612.92,82653.76,1938083.523,64602.78098,541529.3968,18050.97902,
,Bradford - City Centre,monthly,20/12/2025,2587939.06,83481.91,2022752.023,65250.06905,565187.0366,18231.84095,
,Bradford - City Centre,monthly,21/12/2025,2610538.29,84210.91,2040415.746,65819.86076,570122.5438,18391.04924,
,Bradford - City Centre,monthly,22/12/2025,2648554.77,91329.47,2070129.704,71383.77912,578425.066,19945.69088,
,Bradford - City Centre,monthly,22/12/2025,2824031.31,91097.78,2207283.446,71202.68853,616747.864,19895.09147,
,Bradford - City Centre,monthly,23/12/2025,2542150.49,84738.35,1986963.344,66232.11171,555187.1465,18506.23829,
